,client_id,Variation,visitor_id,tenure_group,clnt_tenure_mnth,clnt_age,gendr,gendr_num,invalid_sequence,converted,num_invalid_steps,first_invalid_step,last_invalid_step,wrong_steps,invalid_rate
3,1028,control,42237450_62128060588,long_tenure,145.0,36.0,M,1.0,True,0,9,start,step_1,9,0.0
4,1197,control,753759429_54481946928,short_tenure,85.0,28.5,U,,True,1,7,start,confirm,7,0.0
5,1346,test,123474046_4204671056,long_tenure,177.0,46.0,F,0.0,True,0,10,start,step_3,10,0.0
7,1516,test,182314299_63168583136,long_tenure,150.0,58.5,F,0.0,True,1,16,start,confirm,16,0.0
9,1643,test,910842861_51062379179,long_tenure,229.0,55.0,M,1.0,True,1,10,start,confirm,10,0.0
11,1755,test,230596682_29327090182,short_tenure,110.0,46.5,M,1.0,True,1,9,start,confirm,9,0.0
12,1836,test,619440135_40983729273,long_tenure,157.0,51.5,M,1.0,True,0,12,start,step_1,12,0.0
13,1936,test,883992205_24100452548,short_tenure,63.0,26.5,M,1.0,True,1,10,start,confirm,10,0.0
17,3647,control,742136411_92170694666,long_tenure,190.0,63.0,F,0.0,True,0,6,start,start,6,0.0
22,4717,test,263467736_20983070341,short_tenure,86.0,58.0,U,,True,1,10,start,confirm,10,0.0
25,5354,control,233679354_36495397627,short_tenure,58.0,50.5,U,,True,0,7,start,step_1,7,0.0
27,5845,test,107020087_57150768871,long_tenure,280.0,76.0,F,0.0,True,0,9,start,step_3,9,0.0
28,6022,test,180601604_64159554872,short_tenure,92.0,30.0,U,,True,0,3,start,start,3,0.0
31,7020,control,131463516_45910398094,long_tenure,195.0,41.5,F,0.0,True,0,12,start,step_1,12,0.0
34,7561,test,374207007_19518941180,long_tenure,141.0,33.0,M,1.0,True,0,6,start,start,6,0.0
35,7657,test,591719386_90464616750,long_tenure,218.0,41.5,M,1.0,True,1,7,start,confirm,7,0.0
36,7934,test,370980102_64628679348,long_tenure,241.0,44.0,F,0.0,True,0,3,start,start,3,0.0
40,8712,test,908190802_92056500491,short_tenure,108.0,38.0,U,,True,0,6,start,step_2,6,0.0
42,9229,control,810786857_11889939941,short_tenure,105.0,42.0,M,1.0,True,0,8,start,start,8,0.0
45,9751,test,371374112_82466346974,short_tenure,63.0,36.0,M,1.0,True,0,7,start,start,7,0.0
46,9767,control,764845651_97641705844,short_tenure,75.0,34.0,M,1.0,True,1,10,start,confirm,10,0.0
50,11070,control,503142724_47551214565,long_tenure,171.0,53.5,M,1.0,True,1,12,start,confirm,12,0.0
